onset	duration	trial_type	item	key	RT
7	7	belief	0	2	2.77
20	7	belief	0	0	0.0
33	7	photo	0	2	1.649
46	7	belief	0	2	2.488
59	7	photo	0	1	1.947
72	7	belief	0	2	2.426
85	7	photo	0	2	2.772
98	7	belief	0	1	2.441
111	7	belief	0	1	2.055
124	7	photo	0	2	3.253
