onset	duration	trial_type	item	key	RT
7	7	belief	0	2	2.684
20	7	belief	0	0	0.0
33	7	photo	0	2	3.605
46	7	belief	0	1	3.01
59	7	belief	0	2	2.21
72	7	photo	0	0	0.42
85	7	photo	0	2	2.683
98	7	belief	0	2	2.649
111	7	photo	0	2	2.009
124	7	belief	0	1	2.129
