onset	duration	trial_type	item	key	RT
7	7	belief	0	0	0.0
20	7	belief	0	4	3.691
33	7	photo	0	0	0.0
46	7	belief	0	1	3.157
59	7	belief	0	1	3.46
72	7	photo	0	1	3.441
85	7	photo	0	1	2.881
98	7	belief	0	4	2.163
111	7	photo	0	4	2.164
124	7	belief	0	1	2.103
