onset	duration	trial_type	item	key	RT
7	7	belief	0	2	2.896
20	7	belief	0	2	3.187
33	7	photo	0	1	2.666
46	7	belief	0	2	3.23
59	7	belief	0	2	2.619
72	7	photo	0	1	2.467
85	7	photo	0	2	2.761
98	7	belief	0	1	2.766
111	7	photo	0	2	2.414
124	7	belief	0	2	2.581
