onset	duration	trial_type	item	key	RT
7	7	belief	0	1	3.846
20	7	belief	0	2	3.222
33	7	photo	0	2	3.676
46	7	belief	0	1	3.26
59	7	photo	0	1	3.242
72	7	belief	0	2	2.769
85	7	photo	0	2	3.049
98	7	belief	0	2	2.473
111	7	belief	0	1	2.573
124	7	photo	0	2	2.394
