onset	duration	trial_type	item	key	RT
7	7	belief	0	0	0.0
20	7	belief	0	1	1.799
33	7	photo	0	2	2.369
46	7	belief	0	2	1.153
59	7	photo	0	1	0.951
72	7	belief	0	2	1.024
85	7	photo	0	1	2.619
98	7	belief	0	1	2.136
111	7	belief	0	2	0.905
124	7	photo	0	1	0.751
