onset	duration	trial_type	item	key	RT
7	7	belief	0	2	1.745
20	7	belief	0	1	1.89
33	7	photo	0	1	3.335
46	7	belief	0	2	2.589
59	7	photo	0	1	1.392
72	7	belief	0	1	2.612
85	7	photo	0	2	2.934
98	7	belief	0	1	1.452
111	7	belief	0	2	2.277
124	7	photo	0	2	1.491
