onset	duration	trial_type	item	key	RT
7	7	belief	0	2	2.321
20	7	belief	0	2	2.517
33	7	photo	0	2	2.373
46	7	belief	0	2	3.679
59	7	photo	0	1	3.126
72	7	belief	0	2	2.751
85	7	photo	0	0	0.0
98	7	belief	0	1	2.442
111	7	belief	0	1	2.995
124	7	photo	0	2	2.318
