onset	duration	trial_type	item	key	RT
7	7	belief	0	2	2.936
20	7	belief	0	3	1.957
33	7	photo	0	2	3.35
46	7	belief	0	2	1.961
59	7	belief	0	2	2.89
72	7	photo	0	2	1.993
85	7	photo	0	3	3.892
98	7	belief	0	3	1.977
111	7	photo	0	3	1.412
124	7	belief	0	2	2.89
