onset	duration	trial_type	item	key	RT
7	7	belief	0	2	3.466
20	7	belief	0	0	0.0
33	7	photo	0	0	0.0
46	7	belief	0	1	3.326
59	7	photo	0	1	2.921
72	7	belief	0	1	2.549
85	7	photo	0	0	0.0
98	7	belief	0	2	2.522
111	7	belief	0	0	0.0
124	7	photo	0	2	1.751
