onset	duration	trial_type	item	key	RT
7	7	belief	0	2	3.81
20	7	belief	0	0	0.0
33	7	photo	0	2	1.717
46	7	belief	0	1	2.672
59	7	photo	0	1	2.108
72	7	belief	0	2	2.678
85	7	photo	0	2	2.535
98	7	belief	0	1	2.563
111	7	belief	0	1	1.941
124	7	photo	0	2	2.81
