onset	duration	trial_type	item	key	RT
7	7	belief	0	1	3.186
20	7	belief	0	2	3.186
33	7	photo	0	0	0.0
46	7	belief	0	1	2.526
59	7	belief	0	1	1.969
72	7	photo	0	1	1.868
85	7	photo	0	2	2.418
98	7	belief	0	2	2.84
111	7	photo	0	2	1.952
124	7	belief	0	1	1.938
